Monthly data for lake:, hur,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,100.31,43.13,19.55,44.77,59.47,90.83,85.03,57.99,78.61,66.44,48.46,81.49
2000,53.82,48.32,32.46,52.96,124.13,106.58,61.38,95.3,96.21,42.26,83.82,114.35
2001,45.82,79.58,29.04,55.28,88.29,72.83,31.74,90.34,159.26,132.67,56.06,73.32
2002,31.53,69.81,74.97,90.43,95.31,92.22,86.94,72.61,41.5,75.61,51.94,46.68
2003,51.3,39.22,57.5,67.36,106.94,73.86,93.79,51.38,99.78,68.46,131.06,64.05
2004,85.79,34.53,73.65,58.46,159.01,61.51,83.19,62.4,20.46,93.65,70.28,105.29
2005,86.8,45.52,36.21,54.08,30.73,72.11,83.58,92.24,96.78,40.45,115.75,76.89
2006,87.62,82.29,53.32,65.31,74.63,51.19,91.21,82.83,95.01,126.12,74.18,90.52
2007,63.28,33.4,62.09,89.26,54.73,63.94,50.8,61.97,63.35,91.17,63.97,80.05
2008,102.29,74.53,49.92,62.56,81.46,121.84,93.83,71.54,104.42,63.35,101.66,135.15
2009,55.61,79.26,59.38,98.16,72.48,100.19,70.16,96.17,51.34,127.58,32.84,70.6
2010,35.76,24.94,11.36,43.8,75.61,159.36,91.56,55.91,125.13,52.12,65.44,53.61
2011,61.2,38.06,64,156.26,86.65,107.16,50.2,75.6,105.05,124.16,77.99,57.14
2012,64.74,35.79,63.08,41.11,46.49,76.75,49.06,90.46,75.04,140.13,33.72,66.83
2013,103.94,71.07,40.54,142.94,95.05,70.94,83.23,70.05,66.65,120.51,87.64,77.08
2014,77.82,42.66,40.76,104.49,80.46,61.65,105.78,99.1,110.07,94.49,94.37,50.51
2015,51.81,43.24,21.28,56.47,85.26,83.72,36.85,105.42,67.05,71.18,77.02,97.91
2016,63.66,71.82,126.12,66.6,43.43,45.4,57.76,113.21,81.91,72.91,48.51,75.81
2017,74.75,64.85,69.64,126.9,84.12,135.61,84.04,84.35,64.78,119.75,82.13,57.5
2018,69.83,75.29,32.23,117.97,73.27,26.08,60.84,133.46,57.83,115.49,80.06,59.92
2019,74.24,61.89,50.39,100.15,115.16,91.8,56.12,40.43,93.26,120.94,88.9,72.74
2020,61.41,46.75,65.72,65.68,88.22,62.12,95.86,144.3,67.72,100.11,47.05,47.93
2021,33.93,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
